race,treatment,outcome,effect,upper_conf,lower_conf,control_mean,treatment_mean,p_boot
all,MedianFamilyIncome,Fresh_FV,3.264983179,0.659729548,0.62703332,0.65152757,0.630927881,0
all,MedianFamilyIncome,fast_food,-6.771646249,0.80440368,0.852874283,0.342259754,0.367119808,0
all,MedianFamilyIncome,soda,-8.589246027,1.813062667,1.679658059,0.022748453,0.02488597,0
all,MedianFamilyIncome,bmi,-0.334952104,0.154825505,0.152626985,27.98317299,28.07721822,0
all,MedianFamilyIncome,bmi_abs,-0.094045233,0.04351219,0.042835205,27.98317299,28.07721822,0
all,MedianFamilyIncome,ow,0.642506468,0.503240282,0.47877457,0.651456421,0.647297493,0.006
all,no_college,Fresh_FV,9.179766634,0.671325314,0.65355175,0.657296471,0.602031394,0
all,no_college,fast_food,-8.457244634,0.844151343,0.738545037,0.33959851,0.370972568,0
all,no_college,soda,-13.83386912,1.6446086,1.628977481,0.022377312,0.025969963,0
all,no_college,bmi,-5.053438056,0.162419909,0.1662856,27.7869012,29.26583188,0
all,no_college,bmi_abs,-1.478930686,0.049464223,0.050998012,27.7869012,29.26583188,0
all,no_college,ow,-13.10040729,0.432018585,0.433366027,0.637722166,0.733860938,0
all,category_hotdogs_frac,Fresh_FV,5.311089966,0.564293245,0.581815687,0.644842812,0.612321847,0
all,category_hotdogs_frac,fast_food,-6.175783326,0.783953331,0.760317256,0.347307349,0.370168131,0
all,category_hotdogs_frac,soda,-13.34037287,1.511224436,1.68747096,0.022791934,0.026300522,0
all,category_hotdogs_frac,bmi,-0.335198147,0.153465166,0.136238366,28.37148954,28.46691009,0
all,category_hotdogs_frac,bmi_abs,-0.095420555,0.043751638,0.038836814,28.37148954,28.46691009,0
all,category_hotdogs_frac,ow,-1.473874838,0.43470918,0.392021733,0.669463129,0.679477781,0
all,lapophalfshare,Fresh_FV,3.437497649,0.625767766,0.598496526,0.626952229,0.606116973,0
all,lapophalfshare,fast_food,-7.580581655,0.73605028,0.734361606,0.360517843,0.390088846,0
all,lapophalfshare,soda,-6.362832386,1.643284982,1.716260991,0.025200687,0.026913124,0
all,lapophalfshare,bmi,-0.697883307,0.16998511,0.164627482,28.63778232,28.8390452,0
all,lapophalfshare,bmi_abs,-0.201262882,0.04910845,0.047917101,28.63778232,28.8390452,0
all,lapophalfshare,ow,-2.436814851,0.438848082,0.433236523,0.681931098,0.698963546,0
all_25,MedianFamilyIncome,Fresh_FV,3.264983179,0.659729548,0.62703332,0.65152757,0.630927881,0
all_25,MedianFamilyIncome,fast_food,-6.771646249,0.80440368,0.852874283,0.342259754,0.367119808,0
all_25,MedianFamilyIncome,soda,-8.589246027,1.813062667,1.679658059,0.022748453,0.02488597,0
all_25,MedianFamilyIncome,bmi,-0.334952104,0.154825505,0.152626985,27.98317299,28.07721822,0
all_25,MedianFamilyIncome,bmi_abs,-0.094045233,0.04351219,0.042835205,27.98317299,28.07721822,0
all_25,MedianFamilyIncome,ow,0.642506468,0.503240282,0.47877457,0.651456421,0.647297493,0.006
all_25,no_college,Fresh_FV,7.782803491,0.743802192,0.703020169,0.644189898,0.597674097,0
all_25,no_college,fast_food,-5.695779141,0.784030982,0.838660511,0.354127515,0.375516082,0
all_25,no_college,soda,-10.26452123,1.705566501,1.821315127,0.023875311,0.026606322,0
all_25,no_college,bmi,-4.167508982,0.161471976,0.154691737,28.05504257,29.27508434,0
all_25,no_college,bmi_abs,-1.220041769,0.047956423,0.046529466,28.05504257,29.27508434,0
all_25,no_college,ow,-10.77683286,0.439353999,0.442572196,0.655837449,0.735052869,0
all_25,category_hotdogs_frac,Fresh_FV,5.240427115,0.548982185,0.622760651,0.644073112,0.612001613,0
all_25,category_hotdogs_frac,fast_food,-6.22155376,0.737565019,0.765137101,0.347870173,0.370948962,0
all_25,category_hotdogs_frac,soda,-13.27671787,1.501149252,1.444973041,0.022844508,0.02634184,0
all_25,category_hotdogs_frac,bmi,-0.341233427,0.131909694,0.143999492,28.38601433,28.48320856,0
all_25,category_hotdogs_frac,bmi_abs,-0.097194229,0.037627009,0.041168006,28.38601433,28.48320856,0
all_25,category_hotdogs_frac,ow,-1.469040198,0.419641542,0.429616218,0.670549482,0.680546991,0
all_25,lapophalfshare,Fresh_FV,3.437497649,0.625767766,0.598496526,0.626952229,0.606116973,0
all_25,lapophalfshare,fast_food,-7.580581655,0.73605028,0.734361606,0.360517843,0.390088846,0
all_25,lapophalfshare,soda,-6.362832386,1.643284982,1.716260991,0.025200687,0.026913124,0
all_25,lapophalfshare,bmi,-0.697883307,0.16998511,0.164627482,28.63778232,28.8390452,0
all_25,lapophalfshare,bmi_abs,-0.201262882,0.04910845,0.047917101,28.63778232,28.8390452,0
all_25,lapophalfshare,ow,-2.436814851,0.438848082,0.433236523,0.681931098,0.698963546,0
all,category_countertopinstall,Fresh_FV,-0.176834088,0.547593318,0.562959324,0.610449726,0.611531121,0.289
all,category_countertopinstall,fast_food,-0.190113109,0.755714746,0.734141378,0.383736625,0.384467548,0.337
all,category_countertopinstall,soda,1.131408309,1.892751317,1.744991978,0.027794228,0.027483279,0.101
all,category_countertopinstall,bmi,0.102358261,0.134012343,0.13889041,28.73958614,28.71019888,0.082
all,category_countertopinstall,bmi_abs,0.02938726,0.038477067,0.039891055,28.73958614,28.71019888,0.082
all,category_countertopinstall,ow,0.012183838,0.386744941,0.395127776,0.690221868,0.690137783,0.499
all,category_electronics,Fresh_FV,-0.681365416,0.568861002,0.538967922,0.60490033,0.609050187,0.011
all,category_electronics,fast_food,-0.48176763,0.804981874,0.718186824,0.385532731,0.387399095,0.118
all,category_electronics,soda,-0.240586336,1.57644408,1.714698807,0.0276476,0.027714276,0.359
all,category_electronics,bmi,0.006261762,0.13681495,0.139030257,28.90774065,28.90593063,0.467
all,category_electronics,bmi_abs,0.001810021,0.039504299,0.040215716,28.90774065,28.90593063,0.467
all,category_electronics,ow,0.018052799,0.396426545,0.387277958,0.701158698,0.701032142,0.467
all,category_waterproofing,Fresh_FV,-1.607075956,0.58294131,0.532239403,0.604475001,0.61434804,0
all,category_waterproofing,fast_food,-1.319292286,0.759465937,0.776100581,0.384246654,0.389383764,0
all,category_waterproofing,soda,-0.419523198,1.75653889,1.67876735,0.027748439,0.027865341,0.34
all,category_waterproofing,bmi,0.04610183,0.139164623,0.153941219,28.79938769,28.78611677,0.274
all,category_waterproofing,bmi_abs,0.013270927,0.040064726,0.044319205,28.79938769,28.78611677,0.274
all,category_waterproofing,ow,0.23937187,0.398992243,0.411742503,0.695182643,0.693522545,0.133